Date,CO,CO2,Methane,NitrousOx,CFC11
2000-01-01,107.36,369.76,1802.15,315.54,260.92
2000-02-01,110.35,370.28,1793.96,315.78,260.8
2000-03-01,114.45,371,1791.82,315.7,260.67
2000-04-01,107.21,371.95,1786.89,315.79,260.46
2000-05-01,93.18,372.05,1773.99,315.76,260.21
2000-06-01,82.84,371.52,1772.28,316.03,260.21
2000-07-01,74.31,370.2,1769.48,316.17,260.24
2000-08-01,68.57,368.23,1762.14,315.83,260.01
2000-09-01,73.8,367.01,1773.82,316.62,260.57
2000-10-01,82.91,367.26,1797.05,316.49,259.84
2000-11-01,86.87,368.51,1798.78,316.71,259.96
2000-12-01,92.86,369.75,1790.66,316.53,259.94
2001-01-01,100.74,370.88,1789.25,316.61,259.84
2001-02-01,109.21,371.98,1793.46,316.72,259.43
2001-03-01,120.73,373,1800.94,316.69,259.21
2001-04-01,118.82,373.86,1797.37,316.54,258.74
2001-05-01,101.91,374.36,1783.27,316.58,258.62
2001-06-01,84.21,373.54,1773.29,316.65,258.31
2001-07-01,72.63,371.51,1769.26,316.82,257.53
2001-08-01,69.2,369.57,1764.72,316.94,257.46
2001-09-01,76.42,368.34,1779.83,317.05,257.51
2001-10-01,84.37,368.6,1790.94,317.29,257.7
2001-11-01,93.88,370.29,1793.09,317.4,257.68
2001-12-01,102.3,371.59,1795.97,317.4,257.45
2002-01-01,100.41,372.34,1787.47,317.51,257.27
2002-02-01,98.75,373.11,1782.99,317.16,256.91
2002-03-01,106.17,374.08,1786.05,317.5,256.74
2002-04-01,108.77,374.96,1781.95,317.48,256.5
2002-05-01,102.61,375.68,1778.41,317.91,256.15
2002-06-01,91.54,375.72,1774.5,318,256.2
2002-07-01,77.53,374.03,1766.42,318,255.78
2002-08-01,74.32,371.36,1766.14,318,255.55
2002-09-01,88.47,369.89,1780.36,317.49,255.55
2002-10-01,101.41,370.62,1795.55,317.71,255.54
2002-11-01,107.97,372.57,1801.24,317.81,255.58
2002-12-01,108.8,373.82,1792.52,317.77,255.36
2003-01-01,111.26,374.8,1785.99,317.91,255.12
2003-02-01,122.67,375.95,1791.85,317.79,254.91
2003-03-01,131.18,376.99,1796.81,318.05,254.8
2003-04-01,126.6,378.26,1794.98,318.07,254.68
2003-05-01,113.02,379.06,1787.01,318.18,254.37
2003-06-01,99.44,378.44,1790.49,318.18,254.02
2003-07-01,85.37,376.7,1785.31,318.29,253.83
2003-08-01,76.69,374.71,1773.11,318.34,253.67
2003-09-01,83.86,373.13,1788.15,318.52,253.84
2003-10-01,93.71,373.31,1806.09,318.6,253.65
2003-11-01,96.02,375.03,1807.66,318.61,253.57
2003-12-01,95.17,376.21,1794.44,318.64,253.48
2004-01-01,95.09,377.02,1789.85,318.76,253.21
2004-02-01,104.72,377.99,1798.01,318.69,252.98
2004-03-01,122.7,379.63,1806.82,318.65,252.67
2004-04-01,127.12,380.91,1805.52,318.75,252.64
2004-05-01,106.86,380.94,1787.84,318.85,252.43
2004-06-01,88.24,379.77,1779.75,318.9,252.17
2004-07-01,78.56,377.51,1774.6,318.94,251.98
2004-08-01,75.12,375.71,1769.85,319.03,251.84
2004-09-01,77.48,374.39,1778.12,319.11,251.81
2004-10-01,84.2,374.71,1790.77,319.2,251.72
2004-11-01,93.4,376.41,1800.56,319.33,251.83
2004-12-01,102.12,377.77,1796.61,319.34,251.6
2005-01-01,107.87,378.74,1788.55,319.46,251.32
2005-02-01,115.94,380.36,1796.19,319.53,251.16
2005-03-01,123.2,381.91,1802.7,319.56,250.96
2005-04-01,116.98,382.3,1791.28,319.55,250.79
2005-05-01,103.66,382.65,1780.96,319.64,250.51
